placa,chassi,associado,cpf,dt_nascimento,marca,modelo,ano_de_fabricacao,valor_fipe,linha,dt_contrato,situacao,telefone,email,estado,cidade,ingested_at
GPP-2430,QIM4FGVIZLANKDHSI,RODRIGO BARBOSA PEREIRA,717.540.221-94,12/08/1985,OUTROS,26-280 E Constel. 6x4 2p (diesel)(E5),2012,"R$ 236.038,00",CAMINHãO,30/11/2024,ATIVO,(34) 91428-4304,maria.santos.souza@empresa.com,PR,Ibaiti,2026-02-05 01:54:33.557723 UTC
RKE-9865,R9PBVRDQAJT8BL7FR,RICARDO RODRIGUES ROCHA,190.586.679-82,12/07/1970,OUTROS,2726 6x4 2p (diesel),2010,"R$ 288.875,00",CAMINHãO,10/7/2024,INATIVO,(70) 97217-8954,joão.rocha.ferreira@gmail.com,PR,Cambé,2026-02-05 01:54:33.557723 UTC
PYI-4265,IU0KZZO0EUTNW0CXP,MARIA RODRIGUES SANTOS,162.803.899-87,04/11/1975,OUTROS,30-330 Constellation 8x2 2p (diesel)(E5),2021,"R$ 475.274,00",CAMINHãO,20/7/2025,INADIMPLENTE,(74) 97201-7,tiago.rocha.pereira@empresa.com,PR,Clevelândia,2026-02-05 01:54:33.557723 UTC
OWU-7914,WVEO3MGOVDPCB7SCC,MAtEus   melO   OliveIra,503.372.701-27,19/03/1976,OUTROS,30-330 Constellation 8x2 2p (diesel)(E5),2020,"R$ 499.432,00",CAMINHãO,5/5/2024,INATIVO,,,PR,Timóteo,2026-02-05 01:54:33.557723 UTC
DTF-5879,9P2LS32PZCE31LRW2,LUCAS ALMEIDA CARVALHO,207.616.452-21,27/10/1971,OUTROS,30-330 Constellation 8x2 2p (diesel)(E5),2021,"R$ 517.521,00",CAMINHãO,26/2/2024,INATIVO,(13) 99063-3030,fernanda.araújo.cardoso@gmail.com,SP,Cambé,2026-02-05 01:54:33.557723 UTC
HVH-8946,GBN5R0XTXQLIQH9S0,BR^UNA FERREIRA PEREIRA+,435.958.250-40,26/11/1985,OUTROS,33.460 Constellation 6x4 2p (diesel)(E5),2020,"R$ 478.517,00",CAMINHãO,5/6/2025,INADIMPLENTE,48971319172,maria.ribeiro.gomes@outlook.com,PR,Curitiba,2026-02-05 01:54:33.557723 UTC
JPT-9182,VU5LHGTZ5SI0F3TFB,GUSTAVO MELO COSTA,108.503.661-91,27/10/1967,OUTROS,6-90 2p (diesel),1985,"R$ 28.257,00",CAMINHãO,7/1/2025,INATIVO,(39) 96231-5134,maria.alves.almeida@hotmail.com,PR,Cruz Alta,2026-02-05 01:54:33.557723 UTC
NER-9727,7N7WRM7T3EH4Y71OV,BEATRIZ CARDOSO MELO,806.608.782-91,28/12/1991,OUTROS,8-120/8-120 euro3 Worker 2p (diesel),2004,"R$ 94.473,00",CAMINHãO,20/3/2024,INATIVO,(93) 94668-6781,rafael.ferreira.ferreira@empresa.com,PR,Joaçaba,2026-02-05 01:54:33.557723 UTC
COB-7779,DNQ0E87AFRD5O18LU,TIAGO   CARDOSO   ROCHA,574.662.720-96,28/08/1978,OUTROS,8-140 2p (diesel),1995,"R$ 70.284,00",CAMINHãO,20/10/2024,INATIVO,TEL: (19) 90155-7218,joão.lima.ribeiro@gmail.com,RS,Andirá,2026-02-05 01:54:33.557723 UTC
YAG-4957,1S4O3P2GWJDKSCLQD,BRUNA ALVES OL$IVEIRA,783.986.894-43,06/10/1980,OUTROS,8-150 E Delivery 2p (diesel),2011,"R$ 166.186,00",CAMINHãO,20/10/2024,INATIVO,TEL: (81) 90558-3476,,PR,Frederico Westphalen,2026-02-05 01:54:33.557723 UTC
HKT-9712,QYLYZZXSRJKUOMN97,LUCAS ARAÚJO PEREIRA,424.630.649-21,02/12/1971,OUTROS,8-150 E Delivery 2p (diesel),2008,"R$ 134.103,00",CAMINHãO,16/4/2025,INATIVO,TEL: (92) 95910-3237,larissa.rodrigues.martins@empresa.com,PR,Curitiba,2026-02-05 01:54:33.557723 UTC
RTI-1831,M4XBK3JJDA2RL8GS8,RAFAEL OLIVEIRA ALVES,887.667.949-36,23/06/1967,OUTROS,9-150 E Delivery 2p (diesel),2011,"R$ 160.046,00",CAMINHãO,19/3/2024,INATIVO,(84) 97226-8078,letícia.carvalho.cardoso@hotmail.com,PR,Curitibanos,2026-02-05 01:54:33.557723 UTC
SOU-2140,UH3WGDE1YVA596CBB,LETÍCIA  OLIVEIRA  GOMES,565.310.473-67,22/01/1967,OUTROS,Accelo 1316 6x2 2p (diesel)(E5),2021,"R$ 329.813,00",CAMINHãO,5/4/2025,ATIVO,18928088791,gustavo.costa.rodrigues@outlook.com,SC,Londrina,2026-02-05 01:54:33.557723 UTC
EJY-3557,Z0LKV01SBEYJ2C5K8,PEDRO   RODRIGUES   COSTA,751.125.546-35,06/07/1978,OUTROS,Accelo 1316 6x2 2p (diesel)(E5),2017,"R$ 362.267,00",CAMINHãO,20/6/2024,INATIVO,99969858263,joão.rocha.santos@outlook.com,SC,Ibaiti,2026-02-05 01:54:33.557723 UTC
CTW-6985,8H7V2NWYFHFFOHI01,BRUNA BARBOSA CARDOSO,940.859.744-63,14/09/1978,OUTROS,Accelo 1316 6x2 2p (diesel)(E5),2015,"R$ 343.382,00",CAMINHãO,20/6/2024,INATIVO,(60) 90016-3043,mateus.lima.almeida@empresa.com,PR,Rosário do Sul,2026-02-05 01:54:33.557723 UTC
HYB-4672,TSSRKM1N2ZZP13AVZ,GABRIEL FERREIRA SANTOS,352.384.996-56,13/10/1980,OUTROS,Accelo 815 2p (diesel) (E5),2020,"R$ 350.000,00",CAMINHãO,23/11/2023,INATIVO,(59) 95466-6967,gabriel.rodrigues.cardoso@empresa.com,PR,Itaperuçu,2026-02-05 01:54:33.557723 UTC
APP-3536,GVURNN4SHWLM4RSK5,FERNANDA  BARBOSA  COSTA@,245.735.600-53,03/09/1990,OUTROS,Actros 2646 LS 6x4 2p (diesel),2010,"R$ 190.959,00",CAMINHãO,11/7/2024,INATIVO,(60) 93736-1,,PR,Caçador,2026-02-05 01:54:33.557723 UTC
VIF-3280,VTVHWEH1LX2H9OZZR,LARISSA  ALVES  CARDOSO,439.283.968-14,17/11/1970,OUTROS,Actros 2646 LS 6x4 2p (diesel) (E5),2018,"R$ 349.938,00",CAMINHãO,25/7/2025,INATIVO,(54) 91015-6,maria.gomes.araújo@hotmail.com,PR,Londrina,2026-02-05 01:54:33.557723 UTC
VLQ-7090,O31SBM4Y64NNMHVBF,RICARDO   CARDOSO   OLIVEIRA,841.415.468-34,07/01/1971,OUTROS,Actros 2651 MP5 S 6x4 2p (diesel)(E5),2021,"R$ 658.432,00",CAMINHãO,1/11/2023,INATIVO,(99) 98138-8,ricardo.souza.santos@outlook.com,SC,Toledo,2026-02-05 01:54:33.557723 UTC
ATD-4241,GK4PRHAZ2WBVVJORR,~FERNANDA ARAÚJO PEREIRA,541.974.610-39,18/03/1985,OUTROS,Actros 2651 S 6x4 2p (diesel)(E5),2018,"R$ 462.180,00",CAMINHãO,6/7/2023,INATIVO,TEL: (99) 91570-4179,mateus.santos.almeida@outlook.com,PR,Clevelândia,2026-02-05 01:54:33.557723 UTC
IUD-9451,CH8MXHPM5FL6P4HCD,LETÍCIA GOMES OLIVEIRA,860.804.251-52,15/04/1976,OUTROS,Actros 2651 S 6x4 2p (diesel)(E5),2022,"R$ 658.472,00",CAMINHãO,14/11/2023,INATIVO,(22) 96351-8906,ana.araújo.rodrigues@empresa.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
GOI-6878,CUSQSGPPART5SD2LZ,julia   martins   gomes,529.181.713-24,01/07/1987,OUTROS,Actros 2651 S 6x4 2p (diesel)(E5),2022,"R$ 612.700,00",CAMINHãO,24/11/2023,INATIVO,(78) 96713-8,,PR,Fraiburgo,2026-02-05 01:54:33.557723 UTC
XAN-0971,DD9VDNNNPGLZ8DAG9,$fernanda costa souza,662.628.749-83,11/06/1982,OUTROS,Actros 2651 S 6x4 2p (diesel)(E5),2022,"R$ 612.700,00",CAMINHãO,7/11/2023,INATIVO,TEL: (28) 95639-3556,larissa.martins.pereira@ficticio.com.br,RS,Cascavel,2026-02-05 01:54:33.557723 UTC
LJN-4566,QMQDXA9AEUDJFLUCD,LARISSA   ´MARTINS   PEREIRA,974.839.683-79,28/06/1978,OUTROS,Actros 2651 S 6x4 2p (diesel)(E5),2022,"R$ 612.700,00",CAMINHãO,7/11/2023,INATIVO,,,RS,Mandaguaçu,2026-02-05 01:54:33.557723 UTC
OYS-1120,4BJE62P3WLOPWCFNO,tiago  barbosa  carvalho,662.252.592-78,15/03/1987,OUTROS,Actros 2651 S 6x4 2p (diesel)(E5),2021,"R$ 499.121,00",CAMINHãO,26/6/2025,ATIVO,52991769079,joão.pereira.melo@gmail.com,PR,Videira,2026-02-05 01:54:33.557723 UTC
URY-6690,LBOSR8OO68HJ5ZZ78,MATEUS RIBEIRO ALVES^,769.491.623-97,02/11/1976,OUTROS,Actros 2653 S 6x4 2p (diesel)(E6),2023,"R$ 779.654,00",CAMINHãO,5/9/2024,INATIVO,TEL: (20) 95321-3913,pedro.almeida.alves@ficticio.com.br,PR,Mandirituba,2026-02-05 01:54:33.557723 UTC
DFN-6818,SVX5JBRA6I7UO1TFA,JOÃO BARBOSA FERREIRA,488.118.962-81,09/02/1987,OUTROS,Atego 1419 4x2 2p (diesel)(E6),2023,"R$ 394.125,00",CAMINHãO,27/9/2024,INATIVO,(94) 90644-5592,amanda.rodrigues.ribeiro@hotmail.com,SC,Dois Vizinhos,2026-02-05 01:54:33.557723 UTC
DYG-1615,L4XLL9UJGGSIAC4TL,rafael rocha rocha,898.417.520-12,20/10/1981,OUTROS,Atego 1419 4x2 2p (diesel)(E6),2023,"R$ 394.125,00",CAMINHãO,27/9/2024,INATIVO,TEL: (31) 92705-7497,,PR,Enéas Marques,2026-02-05 01:54:33.557723 UTC
AEE-3975,JDYPGUTBYD80GDUXI,ANA   RIBEIRO#   RIBEIRO#,619.332.321-63,27/12/1974,OUTROS,Atego 2425 3-Eixos 2p (diesel),2010,"R$ 237.122,00",CAMINHãO,16/1/2025,INATIVO,62951338122,joão.santos.carvalho@empresa.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
HDD-3110,O6VARIN507L87SVFY,MARIA  PEREIRA  LIMA,230.634.422-95,27/11/1968,OUTROS,Atego 2425 3-Eixos 2p (diesel),2009,"R$ 220.525,00",CAMINHãO,12/2/2025,ATIVO,20996791321,tiago.ferreira.rodrigues@ficticio.com.br,PR,Telêmaco Borba,2026-02-05 01:54:33.557723 UTC
QNW-7988,N5IRKMMH51KVXUX44,TIAGO LIMA PEREIRA,869.966.302-87,19/04/1969,OUTROS,Atego 2430 6x2 2p (diesel)(E5),2015,"R$ 435.950,00",CAMINHãO,1/9/2024,SUSPENSO TEMPORARIAMENTE,(68) 92971-2,maria.silva.pereira@gmail.com,PR,Ponte Alta,2026-02-05 01:54:33.557723 UTC
RPS-4323,2PROUX8WP2P9K1B5Y,MARIA GOMES MARTINS,151.847.793-49,14/03/1991,OUTROS,Atego 3030 8x2 2p (diesel)(E5),2018,"R$ 538.340,00",CAMINHãO,1/9/2024,SUSPENSO TEMPORARIAMENTE,(32) 96187-6581,gabriel.martins.santos@empresa.com,RS,Apucarana,2026-02-05 01:54:33.557723 UTC
FTH-3439,991YQ112ANISXYYJW,CAMILA SANTOS OLIVEIRA,536.598.235-40,15/12/1990,OUTROS,Axor 2540 S 6x2 2p (diesel),2010,"R$ 183.938,00",CAMINHãO,5/7/2024,INATIVO,(66) 97804-9357,gabriel.silva.santos@hotmail.com,SC,Cianorte,2026-02-05 01:54:33.557723 UTC
HKZ-0178,VFLQLDBVYSHGPSY01,`CAMILA #PEREIRA SILVA,667.859.650-77,03/04/1989,OUTROS,Axor 2544 S 6x2 2p (diesel),2009,"R$ 178.573,00",CAMINHãO,29/1/2025,INATIVO,(20) 99494-9,ana.gomes.cardoso@hotmail.com,PR,Irati,2026-02-05 01:54:33.557723 UTC
LMJ-7077,BCBJS6WEQ18CDX3R3,PEDRO SOUZA OLIVEIRA,138.832.673-18,09/12/1969,OUTROS,Axor 2544 S/LS 6x2 2p (diesel) (E5),2013,"R$ 287.655,00",CAMINHãO,1/9/2024,SUSPENSO TEMPORARIAMENTE,(13) 90503-6501,julia.carvalho.carvalho@outlook.com,PR,Curitiba,2026-02-05 01:54:33.557723 UTC
BJK-3270,MRGD9E5I2U77DMJTU,MARIA GOMES ROCHA,594.141.241-63,25/06/1969,OUTROS,Axor 2544 S/LS 6x2 2p (diesel) (E5),2020,"R$ 426.065,00",CAMINHãO,4/8/2025,ATIVO,(28) 91802-2700,lucas.pereira.martins@hotmail.com,PR,Balsa Nova,2026-02-05 01:54:33.557723 UTC
XAD-6269,NXR6MSAWR8IMJI9VF,JULIA RODRIGUES CARVALHO,465.171.544-94,04/02/1975,OUTROS,Axor 2644 S 6x4 2p (diesel),2015,"R$ 333.496,00",CAMINHãO,20/1/2024,INATIVO,(73) 91632-3197,joão.ferreira.alves@empresa.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
XRB-9698,CN3KLC5TN3DPP1LD9,GUSTAVO COSTA SILVA,624.997.927-70,21/11/1990,OUTROS,Axor 2644 S 6x4 2p (diesel),2013,"R$ 267.946,00",CAMINHãO,18/9/2024,INATIVO,(54) 91398-4002,ricardo.silva.silva@outlook.com,RS,Campina Grande do Sul,2026-02-05 01:54:33.557723 UTC
ORX-7089,6X3B8EO1MVDD1MJ2T,#ERROR!,496.656.881-45,07/04/1979,OUTROS,Axor 2644 S 6x4 2p (diesel),2012,"R$ 277.555,00",CAMINHãO,17/10/2024,INATIVO,,,PR,Rio Negro,2026-02-05 01:54:33.557723 UTC
PZX-7204,UPUJN053OKZ46EK0N,#JOÃO SILVA OLIVEIRA,440.186.989-30,04/09/1990,OUTROS,Axor 2644 S/LS 6x4 2p (diesel) (E5),2022,"R$ 631.148,00",CAMINHãO,22/5/2024,INATIVO,TEL: (55) 96307-7664,pedro.ribeiro.gomes@hotmail.com,PR,Porto Xavier,2026-02-05 01:54:33.557723 UTC
BPT-3829,LDYC9KCN5LTGWW9TA,FERNANDA ALVES SILVA,312.375.930-16,23/06/1978,OUTROS,Axor 2644 S/LS 6x4 2p (diesel) (E5),2022,"R$ 631.148,00",CAMINHãO,22/5/2024,INATIVO,(40) 95993-3404,gabriel.martins.rodrigues@outlook.com,MG,Cambé,2026-02-05 01:54:33.557723 UTC
ILD-4024,GGSO9IJ5WDXU2HMXM,MARIA LIMA COSTA,586.670.778-58,16/05/1988,OUTROS,Axor 3131 6x4 2p (diesel)(E5),2014,"R$ 297.084,00",CAMINHãO,6/1/2025,INATIVO,(88) 96755-2834,gustavo.barbosa.rodrigues@empresa.com,PR,Curitiba,2026-02-05 01:54:33.557723 UTC
PTI-1627,QB4J0I1S02X4YKYGZ,LUCAS ROCHA SOUZA,105.255.562-31,14/04/1991,OUTROS,Axor 3131 6x4 2p (diesel)(E5),2022,"R$ 456.916,00",CAMINHãO,4/1/2025,INATIVO,(13) 95461-3637,amanda.ribeiro.ferreira@gmail.com,RS,Irati,2026-02-05 01:54:33.557723 UTC
YBS-6235,NE5M3FG1KE0LZ8Z80,GABRIEL OLIVEIRA CARVALHO,565.944.755-88,12/12/1987,OUTROS,Axor 3340 S 6x4 2p (diesel),2006,"R$ 163.933,00",CAMINHãO,21/4/2025,INADIMPLENTE,(37) 97467-4180,tiago.souza.almeida@hotmail.com,PR,Irati,2026-02-05 01:54:33.557723 UTC
NOG-8553,0VJTPHPMEAGZHMUES,LARISSA BARBOSA MARTINS,108.273.108-48,11/12/1986,FIAT,CARGO 1119 Turbo 2p (diesel)(E5),2015,"R$ 282.455,00",CAMINHãO,20/6/2024,INATIVO,(34) 97619-7451,mateus.alves.almeida@hotmail.com,PR,Londrina,2026-02-05 01:54:33.557723 UTC
KRP-5315,8OXW116FKPZZDZPML,BEATRIZ MARTINS COSTA,462.593.493-21,23/07/1968,FIAT,CARGO 1517 T 3-Eixos 2p (diesel),2004,"R$ 119.968,00",CAMINHãO,10/7/2024,INATIVO,,rafael.martins.oliveira@gmail.com,PR,Clevelândia,2026-02-05 01:54:33.557723 UTC
UHE-9147,CFAG0JJY90OMFLXPM,`RAFAEL GOMES S^ANTOS,212.506.369-85,18/09/1974,FIAT,CARGO 1519 E Turbo 2p (diesel)(E5),2013,"R$ 198.113,00",CAMINHãO,16/8/2024,INATIVO,(17) 98836-7,pedro.alves.rocha@ficticio.com.br,SP,Japira,2026-02-05 01:54:33.557723 UTC
KOP-8888,J5P9LRLZ34F194R9I,AMANDA ARAÚJO ALVES,618.289.489-10,13/12/1988,FIAT,CARGO 2428 E T 3-Eixos 2p (diesel),2007,"R$ 182.939,00",CAMINHãO,20/6/2024,INATIVO,(76) 93624-1192,beatriz.rodrigues.souza@gmail.com,SC,Três Barras do Paraná,2026-02-05 01:54:33.557723 UTC
JCN-0057,OMGVO5662412Q140Q,LETÍCIA RODRIGUES SOUZA,268.929.467-40,20/10/1969,FIAT,CARGO 2428 E T 3-Eixos 2p (diesel),2007,"R$ 182.939,00",CAMINHãO,20/6/2024,INATIVO,TEL: (31) 94002-7959,,PR,Londrina,2026-02-05 01:54:33.557723 UTC
