status,dt_contrato,nome_associado,placa,modelo_veiculo,fipe,linha,cidade,uf,telefone,anotacoes,dt_envio,dt_entrega,status_envio,termo_assinado,status_instalacao,auto_eletrica_compativel,valor_instalacao,imei_aparelho,empresa_rastreamento,login,senha,ingested_at,dt_instalacao
ATIVO,12/6/2023,$BEATRIZ COSTA LIMA,HUP-7905,19-320 E Constellation Titan Tractor 2p,"R$ 117.932,00",CAMINHãO,Campo Mourão,PR,(80) 91077-2,Gerado automaticamente para sincronização,22/06/2023,28/06/2023,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 150,00",81680579.0,Azimute,$beatriz25,249654.0,2026-02-12 17:54:18.895473 UTC,01/07/2023
ATIVO,1/4/2024,rodrigo lima carvalho,TRV-7751,24-250 E Constellation 3-Eixos 2p (diese,"R$ 302.798,00",CAMINHãO,Candiota,SP,,Gerado automaticamente para sincronização,06/04/2024,15/04/2024,ENTREGUE,SIM,INSTALADO,TECH SILVA,"R$ 150,00",24263043.0,Azimute,rodrigo76,694616.0,2026-02-12 17:54:18.895751 UTC,19/04/2024
ATIVO,24/1/2024,JOÃO ROCHA OLIVEIRA,ZIT-7243,24-280 E Constel. 6x2 2p (diesel)(E5),"R$ 240.116,00",CAMINHãO,Itajaí,PR,(25) 95478-1039,Gerado automaticamente para sincronização,01/02/2024,05/02/2024,ENTREGUE,SIM,INSTALADO,TECH SANTOS,"R$ 120,00",81440290.0,Azimute,joão90,647614.0,2026-02-12 17:54:18.897023 UTC,06/02/2024
ATIVO,7/1/2025,GUSTAVO MELO COSTA,JPT-9182,6-90 2p (diesel),"R$ 28.257,00",CAMINHãO,Cruz Alta,PR,(39) 96231-5134,Gerado automaticamente para sincronização,11/01/2025,18/01/2025,ENTREGUE,SIM,INSTALADO,OFICINA SANTOS,"R$ 80,00",71556033.0,Azimute,gustavo54,909206.0,2026-02-12 17:54:18.899683 UTC,23/01/2025
ATIVO,20/10/2024,TIAGO   CARDOSO   ROCHA,COB-7779,8-140 2p (diesel),"R$ 70.284,00",CAMINHãO,Andirá,RS,TEL: (19) 90155-7218,Gerado automaticamente para sincronização,24/10/2024,04/11/2024,ENTREGUE,SIM,INSTALADO,OFICINA CONFIANÇA,"R$ 90,00",64838619.0,Azimute,tiago12,834682.0,2026-02-12 17:54:18.900182 UTC,08/11/2024
ATIVO,20/10/2024,BRUNA ALVES OL$IVEIRA,YAG-4957,8-150 E Delivery 2p (diesel),"R$ 166.186,00",CAMINHãO,Frederico Westphalen,PR,TEL: (81) 90558-3476,Gerado automaticamente para sincronização,21/10/2024,27/10/2024,ENTREGUE,NÃO,PENDENTE,OFICINA SANTOS,"R$ 150,00",28619947.0,Azimute,bruna84,283039.0,2026-02-12 17:54:18.900408 UTC,
ATIVO,20/6/2024,BRUNA BARBOSA CARDOSO,CTW-6985,Accelo 1316 6x2 2p (diesel)(E5),"R$ 343.382,00",CAMINHãO,Rosário do Sul,PR,(60) 90016-3043,Gerado automaticamente para sincronização,24/06/2024,07/07/2024,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 150,00",30156338.0,Azimute,bruna50,601635.0,2026-02-12 17:54:18.901379 UTC,12/07/2024
ATIVO,1/11/2023,RICARDO   CARDOSO   OLIVEIRA,VLQ-7090,Actros 2651 MP5 S 6x4 2p (diesel)(E5),"R$ 658.432,00",CAMINHãO,Toledo,SC,(99) 98138-8,Gerado automaticamente para sincronização,08/11/2023,19/11/2023,ENTREGUE,NÃO,PENDENTE,MECÂNICA LIDER,"R$ 150,00",25169282.0,Azimute,ricardo98,329018.0,2026-02-12 17:54:18.902363 UTC,
ATIVO,7/11/2023,LARISSA   ´MARTINS   PEREIRA,LJN-4566,Actros 2651 S 6x4 2p (diesel)(E5),"R$ 612.700,00",CAMINHãO,Mandaguaçu,RS,,Gerado automaticamente para sincronização,15/11/2023,18/11/2023,ENTREGUE,SIM,INSTALADO,EQUIPADORA DO ALEMÃO,"R$ 100,00",49289519.0,Azimute,larissa57,882231.0,2026-02-12 17:54:18.903598 UTC,22/11/2023
ATIVO,27/9/2024,JOÃO BARBOSA FERREIRA,DFN-6818,Atego 1419 4x2 2p (diesel)(E6),"R$ 394.125,00",CAMINHãO,Dois Vizinhos,SC,(94) 90644-5592,Gerado automaticamente para sincronização,03/10/2024,13/10/2024,ENTREGUE,NÃO,PENDENTE,ELETRO TOTAL,"R$ 90,00",51112474.0,Azimute,joão41,211973.0,2026-02-12 17:54:18.904063 UTC,
ATIVO,1/9/2024,TIAGO LIMA PEREIRA,QNW-7988,Atego 2430 6x2 2p (diesel)(E5),"R$ 435.950,00",CAMINHãO,Ponte Alta,PR,(68) 92971-2,Gerado automaticamente para sincronização,02/09/2024,10/09/2024,ENTREGUE,SIM,INSTALADO,TECH SANTOS,"R$ 90,00",55805758.0,Azimute,tiago19,915642.0,2026-02-12 17:54:18.904712 UTC,14/09/2024
ATIVO,18/9/2024,GUSTAVO COSTA SILVA,XRB-9698,Axor 2644 S 6x4 2p (diesel),"R$ 267.946,00",CAMINHãO,Campina Grande do Sul,RS,(54) 91398-4002,Gerado automaticamente para sincronização,25/09/2024,08/10/2024,ENTREGUE,SIM,INSTALADO,OFICINA CONFIANÇA,"R$ 120,00",62041532.0,Azimute,gustavo28,259205.0,2026-02-12 17:54:18.906135 UTC,11/10/2024
ATIVO,17/10/2024,#ERROR!,ORX-7089,Axor 2644 S 6x4 2p (diesel),"R$ 277.555,00",CAMINHãO,Rio Negro,PR,,Gerado automaticamente para sincronização,25/10/2024,05/11/2024,ENTREGUE,SIM,INSTALADO,OFICINA CENTRAL,"R$ 120,00",33359708.0,Azimute,#error!72,191177.0,2026-02-12 17:54:18.906346 UTC,07/11/2024
ATIVO,20/6/2024,AMANDA ARAÚJO ALVES,KOP-8888,CARGO 2428 E T 3-Eixos 2p (diesel),"R$ 182.939,00",CAMINHãO,Três Barras do Paraná,SC,(76) 93624-1192,Gerado automaticamente para sincronização,25/06/2024,09/07/2024,ENTREGUE,SIM,INSTALADO,OFICINA RÁPIDO,"R$ 90,00",41608876.0,Azimute,amanda25,560746.0,2026-02-12 17:54:18.908217 UTC,13/07/2024
ATIVO,27/8/2024,leTícIa MElo MaRTInS,CTE-5255,CARGO 2628 E 6x4 T 3-Eixos 2p (diesel),"R$ 177.818,00",CAMINHãO,Palmas,PR,21932368855,Gerado automaticamente para sincronização,02/09/2024,06/09/2024,ENTREGUE,SIM,INSTALADO,OFICINA SUL,"R$ 120,00",69520736.0,Azimute,letícia75,602782.0,2026-02-12 17:54:18.909321 UTC,07/09/2024
ATIVO,10/7/2024,`ricArDo SILVa MElO,WLY-4552,CARGO 2628 E 6x4 T 3-Eixos 2p (diesel),"R$ 257.455,00",CAMINHãO,Descanso,PR,(30) 96655-1,Gerado automaticamente para sincronização,11/07/2024,16/07/2024,ENTREGUE,NÃO,INSTALADO,MECÂNICA RÁPIDO,"R$ 80,00",90299194.0,Azimute,`ricardo35,593228.0,2026-02-12 17:54:18.909566 UTC,20/07/2024
ATIVO,27/1/2024,GABRIEL SILVA OLIVEIRA,RPP-3579,CARGO 2628 E 6x4 T 3-Eixos 2p (diesel),"R$ 190.184,00",CAMINHãO,Irani,PR,(25) 98400-1383,Gerado automaticamente para sincronização,02/02/2024,12/02/2024,ENTREGUE,SIM,INSTALADO,AUTO ELÉTRICA RÁPIDO,"R$ 100,00",64520887.0,Azimute,gabriel52,672147.0,2026-02-12 17:54:18.910073 UTC,12/02/2024
ATIVO,30/12/2023,BRUNA MELO LIMA,ZGD-4443,CARGO 2629 E 6x4 Turbo 2p (diesel)(E5),"R$ 293.207,00",CAMINHãO,Caçador,PR,(47) 91979-8397,Gerado automaticamente para sincronização,06/01/2024,19/01/2024,ENTREGUE,SIM,INSTALADO,TECH SANTOS,"R$ 80,00",66233180.0,Azimute,bruna26,775988.0,2026-02-12 17:54:18.910311 UTC,19/01/2024
ATIVO,6/4/2024,JOÃO FERREIRA MARTINS,KWN-8888,CARGO 815/815 S/815 E Turbo 2p (diesel),"R$ 144.745,00",CAMINHãO,Arroio do Meio,PR,(79) 95966-4572,Gerado automaticamente para sincronização,15/04/2024,20/04/2024,ENTREGUE,SIM,INSTALADO,AUTO CENTER CENTRAL,"R$ 80,00",45344026.0,Azimute,joão82,847073.0,2026-02-12 17:54:18.910817 UTC,21/04/2024
ATIVO,20/10/2024,%RICA#RDO MELO MELO,ETM-8004,DAILY CHASSI 35S14 2p (dies.)(E5),"R$ 132.931,00",CAMINHãO,Paiçandu,PR,,Gerado automaticamente para sincronização,29/10/2024,05/11/2024,ENTREGUE,SIM,INSTALADO,MECÂNICA SILVA,"R$ 120,00",79780285.0,Azimute,%rica#rdo57,224614.0,2026-02-12 17:54:18.911324 UTC,10/11/2024
ATIVO,30/4/2024,JOÃO ALMEIDA LIMA,OCI-6322,FH 400 6x2 2p (diesel),"R$ 214.270,00",CAMINHãO,Mallet,RS,(99) 97454-8279,Gerado automaticamente para sincronização,08/05/2024,13/05/2024,ENTREGUE,SIM,INSTALADO,MECÂNICA DO JOÃO,"R$ 120,00",46977431.0,Azimute,joão9,139822.0,2026-02-12 17:54:18.912488 UTC,14/05/2024
ATIVO,25/12/2023,JOÃO  MARTINS  CARDOSO,IVY-4420,FH 440 4x2 2p (diesel),"R$ 215.674,00",CAMINHãO,Rio Negro,PR,TEL: (80) 90376-8707,Gerado automaticamente para sincronização,28/12/2023,01/01/2024,ENTREGUE,NÃO,INSTALADO,AUTO ELÉTRICA RÁPIDO,"R$ 120,00",99472263.0,Azimute,joão98,163921.0,2026-02-12 17:54:18.912735 UTC,01/01/2024
ATIVO,8/4/2024,TIAGO RODRIGUES RIBEIRO,SCP-7413,FH 440 4x2 2p (diesel),"R$ 255.854,00",CAMINHãO,Mallet,RS,(47) 98023-3756,Gerado automaticamente para sincronização,10/04/2024,14/04/2024,ENTREGUE,NÃO,PENDENTE,OFICINA CONFIANÇA,"R$ 80,00",82206048.0,Azimute,tiago5,660858.0,2026-02-12 17:54:18.913243 UTC,
ATIVO,25/3/2024,`JOÃO G@OMES ARAÚJO,DGC-2342,FH 440 6x2 2p (diesel),"R$ 224.948,00",CAMINHãO,Lebon Régis,SC,(82) 98584-3,Gerado automaticamente para sincronização,27/03/2024,02/04/2024,ENTREGUE,SIM,INSTALADO,MECÂNICA LIDER,"R$ 100,00",99057611.0,Azimute,`joão73,631635.0,2026-02-12 17:54:18.913489 UTC,02/04/2024
ATIVO,22/12/2023,ANA MARTINS MARTINS,SDN-7455,FH-460 6x4 2p (diesel) (E5),"R$ 311.491,00",CAMINHãO,Candiota,SP,(42) 91995-2333,Gerado automaticamente para sincronização,01/01/2024,10/01/2024,ENTREGUE,SIM,INSTALADO,CENTRO AUTOMOTIVO CENTRAL,"R$ 90,00",18782094.0,Azimute,ana38,626357.0,2026-02-12 17:54:18.914894 UTC,11/01/2024
